Order_ID,Order Date,Ship Date,Ship Mode,customer name,Segment,Country,Currency,City,State,Region,Category,Sub_Category,Product Name,Item Price,Quantity,Cost,Sales,Expense,% Discount,discount,Packaging Cost,Service and other cost,Total Cost,Profit,,,
DO-1001,1/3/2021,1/7/2021,Standard,1231-darren powers,1,United States,USD,Houston,Texas,East,stationary & office items,Paper,"message book, wirebound, four 5 1/2"" x 4"" forms/pg., 200 dupl. sets/book",247,95,174,23465,16530,0.03,704,4,1,"6,226","17,239",,,
DO-1002,1/4/2021,1/8/2021,Standard,3744-phillina ober,2,United States,USD,Naperville,Illinois,East,stationary & office items,Binders,gbc standard plastic binding systems combs,225,64,171,14400,10944,0.05,720,1,4,"2,731.00","11,669.00",,,
DO-1003,1/4/2021,1/8/2021,Standard,3744-phillina ober,2,United States,USD,Naperville,Illinois,East,stationary & office items,Storage,safco boltless steel shelving,213,52,182,11076,9464,0.04,443,3,5,"1,160.96","9,915.04",,,
DO-1004,1/4/2021,1/8/2021,Standard,3744-phillina ober,2,United States,USD,Naperville,Illinois,East,stationary & office items,Labels,avery 508,202,51,135,10302,6885,0.05,515,5,2,"2,894.90","7,407.10",,,
DO-1005,1/5/2021,1/13/2021,Standard,3310-mick brown,1,United States,USD,Philadelphia,Pennsylvania,East,stationary & office items,Art,"avery hi-liter everbold pen style fluorescent highlighters, 4/pack",219,64,127,14016,8128,0.04,561,5,2,"5,320.36","8,695.64",,,
DO-1006,1/6/2021,1/8/2021,Second Class,2971-lycoris saunders,1,United States,USD,Los Angeles,California,East,stationary & office items,Paper,xerox 225,239,56,168,13384,9408,0.05,669,5,2,"3,299.80","10,084.20",,,
DO-1007,1/6/2021,1/7/2021,First Class,2107-jack o'briant,3,United States,USD,Athens,Georgia,East,stationary & office items,Art,"dixon prang watercolor pencils, 10-color set with brush",242,86,154,20812,13244,0.04,832,3,1,"6,731.52","14,080.48",,,
DO-1008,1/6/2021,1/10/2021,Standard,3005-maria etezadi,2,United States,USD,Henderson,Kentucky,East,electronics,Phones,wireless extenders zboost yx545 soho signal booster,227,83,151,18841,12533,0.05,942,5,5,"5,355.95","13,485.05",,,
DO-1009,1/6/2021,1/10/2021,Standard,3005-maria etezadi,2,United States,USD,Henderson,Kentucky,East,stationary & office items,Paper,southworth 25% cotton granite paper & envelopes,217,98,136,21266,13328,0.04,851,4,3,"7,080.36","14,185.64",,,
DO-1010,1/6/2021,1/10/2021,Standard,3005-maria etezadi,2,United States,USD,Henderson,Kentucky,East,stationary & office items,Fasteners,"alliance super-size bands, assorted sizes",222,89,156,19758,13884,0.05,988,4,5,"4,877.10","14,880.90",,,
DO-1011,1/6/2021,1/10/2021,Standard,3005-maria etezadi,2,United States,USD,Henderson,Kentucky,East,home & lifestyle,Chairs,global deluxe high-back manager's chair,242,93,187,22506,17391,0.05,1125,3,3,"3,983.70","18,522.30",,,
DO-1012,1/6/2021,1/10/2021,Standard,3005-maria etezadi,2,United States,USD,Henderson,Kentucky,East,stationary & office items,Art,rogers handheld barrel pencil sharpener,210,50,151,10500,7550,0.03,315,2,3,"2,630.00","7,870.00",,,
DO-1013,1/6/2021,1/10/2021,Standard,3005-maria etezadi,2,United States,USD,Henderson,Kentucky,East,stationary & office items,Binders,ibico hi-tech manual binding system,205,90,191,18450,17190,0.03,554,3,3,700.5,"17,749.50",,,
DO-1014,1/6/2021,1/10/2021,Standard,3005-maria etezadi,2,United States,USD,Henderson,Kentucky,East,electronics,Phones,ge 30524ee4,225,54,120,12150,6480,0.04,486,2,1,"5,181.00","6,969.00",,,
DO-1015,1/7/2021,1/12/2021,Standard,4731-vivek sundaresam,1,United States,USD,Huntsville,Texas,East,stationary & office items,Binders,"acco four pocket poly ring binder with label holder, smoke, 1""",217,87,100,18879,8700,0.05,944,2,4,"9,229.05","9,649.95",,,
DO-1016,1/7/2021,1/12/2021,Standard,4731-vivek sundaresam,1,United States,USD,Huntsville,Texas,East,home & lifestyle,Furnishings,"howard miller 14-1/2"" diameter chrome round wall clock",228,65,163,14820,10595,0.05,741,3,3,"3,478.00","11,342.00",,,
DO-1017,1/9/2021,1/13/2021,Standard,3211-melanie seite,1,United States,USD,Laredo,Texas,East,electronics,Accessories,memorex micro travel drive 8 gb,231,68,153,15708,10404,0.04,628,2,1,"4,672.68","11,035.32",,,
